55,PS일렉트로닉스,"4,615",215,-4.45%,"2,242,837","10,497","4,610","4,620","1,994",-49.10,-9.27
56,삼양컴텍,"18,270",870,-4.55%,"2,147,998","39,776","18,240","18,250","7,529",35.48,38.14
57,헝셩그룹,232,2,+0.87%,"2,043,830",471,229,230,436,46.40,0.69
58,앱코,"1,115",35,-3.04%,"1,802,535","2,020","1,114","1,116",565,11.86,8.21
59,블루엠텍,"5,820",340,+6.20%,"1,780,590","10,249","5,810","5,820","1,950",-20.49,N/A
60,알파녹스,"1,770",20,+1.14%,"1,738,880","3,302","1,782","1,785",303,-3.71,-29.00
61,케이프,"9,475",85,+0.91%,"1,697,168","16,487","9,360","9,370","2,928",14.31,7.47
62,현대바이오,"5,910",190,+3.32%,"1,696,197","10,278","5,830","5,840","5,676",-26.15,-16.36
63,삼현,"15,160",710,+4.91%,"1,657,858","24,967","15,160","15,170","4,807",52.28,N/A
64,푸른기술,"8,700",210,+2.47%,"1,588,719","14,124","8,780","8,790",727,39.55,5.39
65,청담글로벌,"7,940",800,-9.15%,"1,452,017","11,846","7,830","7,850","1,671",610.77,2.85
66,샌즈랩,"8,510",730,+9.38%,"1,430,050","12,765","8,610","8,620","1,299",-78.80,-5.21
67,대창솔루션,449,2,+0.45%,"1,399,859",629,449,451,827,-6.70,-10.84
68,한선엔지니어링,"7,850",40,-0.51%,"1,293,137","10,736","7,810","7,840","1,356",17.41,7.30
69,우양,"5,000",0,0.00%,"1,290,427","6,392","5,000","5,010",818,-238.10,-3.06
70,디앤디파마텍,"159,700","19,500",+13.91%,"1,281,822","196,072","159,400","159,500","17,281",-45.67,-49.03
71,국일신동,"1,654",33,-1.96%,"1,260,511","2,342","1,748","1,756",183,-5.84,-7.58
72,케이쓰리아이,"5,230",430,+8.96%,"1,241,275","6,477","5,210","5,230",392,-8.02,N/A
73,강스템바이오텍,"1,185",8,-0.67%,"1,234,677","1,422","1,177","1,178",664,-4.31,-17.52
74,하이젠알앤엠,"36,400","2,350",+6.90%,"1,205,396","44,418","36,050","36,100","11,243",-202.22,-1.92
75,TS트릴리온,220,9,+4.27%,"1,200,347",261,219,220,236,-4.49,-19.64
76,네오이뮨텍,965,35,-3.50%,"1,107,967","1,067",961,962,954,-3.20,-70.17
77,더즌,"5,100",0,0.00%,"1,090,474","5,612","5,100","5,110","3,657",31.68,28.06
78,보성파워텍,"3,825",25,+0.66%,"1,088,321","4,199","3,815","3,820","1,879",11.88,6.80
79,하이드로리튬,"2,495",55,-2.16%,"1,059,341","2,651","2,480","2,485","1,352",-3.04,-23.16
80,제주반도체,"16,690",420,+2.58%,"1,034,939","17,059","16,620","16,630","5,748",48.52,11.44
81,유니테스트,"13,930","1,170",+9.17%,"1,032,513","14,213","14,090","14,100","2,944",-13.23,-19.88
82,율호,"1,146",122,-9.62%,"1,026,599","1,237","1,181","1,183",824,-4.86,-23.33
83,SGA솔루션즈,700,7,-0.99%,"1,025,919",727,702,704,597,-4.67,-20.26
84,스튜디오미르,"4,805",185,-3.71%,"1,011,363","4,983","4,915","4,925","1,573",-64.07,0.29
85,티엑스알로보틱스,"13,810",780,+5.99%,"968,674","13,852","13,730","13,750","2,134",107.05,14.93
86,글로벌텍스프리,"4,775",60,-1.24%,"937,809","4,529","4,775","4,780","3,356",16.93,5.60
87,국일제지,468,1,-0.21%,"914,675",427,466,469,"5,276",-66.86,-9.98
88,캔버스엔,"1,088",55,-4.81%,"908,254","1,005","1,081","1,085",257,-3.09,-34.96
89,한국선재,"3,475",25,+0.72%,"899,845","3,153","3,500","3,510",887,695.00,-1.02
90,팬스타엔터프라이즈,934,5,+0.54%,"894,491",836,924,928,"1,081",14.15,6.67
91,헬릭스미스,"7,040",480,+7.32%,"878,801","6,110","7,020","7,030","3,245",-40.23,-10.43
92,하이록코리아,"35,600","2,600",+7.88%,"864,418","31,365","35,450","35,500","4,377",10.55,11.38
93,파인엠텍,"11,710",110,-0.93%,"863,156","10,032","11,570","11,580","4,408",-14.94,-11.87
94,원텍,"10,110",340,-3.25%,"861,143","8,735","10,120","10,130","9,096",22.67,25.76
95,엔에프씨,"6,750",650,-8.78%,"807,169","5,705","6,710","6,730",603,28.60,-9.03
96,케이씨티,"4,190",60,-1.41%,"797,099","3,389","4,200","4,220",719,48.72,2.58
97,에스엔시스,"51,500",800,+1.58%,"776,427","41,155","51,700","51,800","4,860",17.28,28.30
98,알체라,"2,815",115,+4.26%,"765,845","2,178","2,835","2,840","1,090",-10.83,-125.69
99,아이에이,183,0,0.00%,"745,659",137,182,183,688,-2.77,-25.89
100,에스유앤피,290,39,+15.54%,"742,748",202,279,280,110,-0.13,-88.89
